Sector,sector title,Summary,summary title,U.Summary,undersum title,Detail,detail title
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",212230,"Copper, nickel, lead, and zinc mining"
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",212310,Stone mining and quarrying
21,Mining,212,"Mining, except oil and gas",212,"Mining, except oil and gas",2123A0,Other nonmetallic mineral mining and quarrying
21,Mining,213,Support activities for mining,213,Support activities for mining,213111,Drilling oil and gas wells
21,Mining,213,Support activities for mining,213,Support activities for mining,21311A,Other support activities for mining
22,Utilities,22,Utilities,2211,"Electric power generation, transmission, and distribution",221100,"Electric power generation, transmission, and distribution"
22,Utilities,22,Utilities,2212NW,"Natural gas distribution and water, sewage and other systems",221200,Natural gas distribution
22,Utilities,22,Utilities,2212NW,"Natural gas distribution and water, sewage and other systems",221300,"Water, sewage and other systems"
23,Construction,23,Construction,23EH,"Education, hospital, and health structures",233210,Health care structures
23,Construction,23,Construction,23EH,"Education, hospital, and health structures",233262,Educational and vocational structures
23,Construction,23,Construction,23OC,Office and commercial structures,2332A0,Office and commercial structures
23,Construction,23,Construction,23PC,Power and communication structures,233240,Power and communication structures
23,Construction,23,Construction,23TH,Transportation structures and highways and streets,2332C0,Transportation structures and highways and streets
23,Construction,23,Construction,23OT,Other nonresidential structures,233230,Manufacturing structures
23,Construction,23,Construction,23OT,Other nonresidential structures,2332D0,Other nonresidential structures
23,Construction,23,Construction,23SF,Single-family residential structures,233411,Single-family residential structures
23,Construction,23,Construction,23OR,Other residential construction,233412,Multifamily residential structures
23,Construction,23,Construction,23OR,Other residential construction,2334A0,Other residential structures
23,Construction,23,Construction,23MR,Maintenance and repair construction,230301,Nonresidential maintenance and repair
23,Construction,23,Construction,23MR,Maintenance and repair construction,230302,Residential maintenance and repair
33DG,Durable goods,321,Wood products,321,Wood products,321100,Sawmills and wood preservation
33DG,Durable goods,321,Wood products,321,Wood products,321200,"Veneer, plywood, and engineered wood product manufacturing"
33DG,Durable goods,321,Wood products,321,Wood products,321910,Millwork
33DG,Durable goods,321,Wood products,321,Wood products,3219A0,All other wood product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327100,Clay product and refractory manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327200,Glass and glass product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327310,Cement manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327320,Ready-mix concrete manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327330,"Concrete pipe, brick, and block manufacturing"
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327390,Other concrete product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327400,Lime and gypsum product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327910,Abrasive product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327991,Cut stone and stone product manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327992,Ground or treated mineral and earth manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327993,Mineral wool manufacturing
33DG,Durable goods,327,Nonmetallic mineral products,327,Nonmetallic mineral products,327999,Miscellaneous nonmetallic mineral products
33DG,Durable goods,331,Primary metals,3311IS,Iron and steel mills and manufacturing from purchased steel,331110,Iron and steel mills and ferroalloy manufacturing
33DG,Durable goods,331,Primary metals,3311IS,Iron and steel mills and manufacturing from purchased steel,331200,Steel product manufacturing from purchased steel
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331313,Alumina refining and primary aluminum production
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331314,Secondary smelting and alloying of aluminum
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,33131B,Aluminum product manufacturing from purchased aluminum
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331410,Nonferrous metal (except aluminum) smelting and refining
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331420,"Copper rolling, drawing, extruding and alloying"
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331510,Ferrous metal foundries
33DG,Durable goods,331,Primary metals,3313NF,Nonferrous metal production and processing and foundries,331520,Nonferrous metal foundries
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33211A,"All other forging, stamping, and sintering"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332114,Custom roll forming
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332119,"Metal crown, closure, and other metal stamping (except automotive)"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332200,Cutlery and handtool manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332310,Plate work and fabricated structural product manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332320,Ornamental and architectural metal products manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332410,Power boiler and heat exchanger manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332420,Metal tank (heavy gauge) manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332430,"Metal can, box, and other metal container (light gauge) manufacturing"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332500,Hardware manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332600,Spring and wire product manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332710,Machine shops
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332720,"Turned product and screw, nut, and bolt manufacturing"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332800,"Coating, engraving, heat treating and allied activities"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33291A,Valve and fittings other than plumbing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332913,Plumbing fixture fitting and trim manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332991,Ball and roller bearing manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,33299A,"Ammunition, arms, ordnance, and accessories manufacturing"
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332996,Fabricated pipe and pipe fitting manufacturing
33DG,Durable goods,332,Fabricated metal products,332,Fabricated metal products,332999,Other fabricated metal manufacturing
33DG,Durable goods,333,Machinery,33311,Agricultural implement manufacturing,333111,Farm machinery and equipment manufacturing
33DG,Durable goods,333,Machinery,33311,Agricultural implement manufacturing,333112,Lawn and garden equipment manufacturing
33DG,Durable goods,333,Machinery,33312,Construction machinery manufacturing,333120,Construction machinery manufacturing
33DG,Durable goods,333,Machinery,33313,Mining and oil and gas field machinery manufacturing,333130,Mining and oil and gas field machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333242,Semiconductor machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33329A,Other industrial machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333314,Optical instrument and lens manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333316,Photographic and photocopying equipment manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333318,Other commercial and service industry machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333413,Industrial and commercial fan and blower and air purification equipment manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333414,Heating equipment (except warm air furnaces) manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing"
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333511,Industrial mold manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333517,Machine tool manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333514,"Special tool, die, jig, and fixture manufacturing"
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing"
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333611,Turbine and turbine generator set units manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333612,"Speed changer, industrial high-speed drive, and gear manufacturing"
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333613,Mechanical power transmission equipment manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333618,Other engine equipment manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333914,"Measuring, dispensing, and other pumping equipment manufacturing"
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333912,Air and gas compressor manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333920,Material handling equipment manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333991,Power-driven handtool manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399A,Other general purpose machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333993,Packaging machinery manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333994,Industrial process furnace and oven manufacturing
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399B,Fluid power process machinery
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334111,Electronic computer manufacturing
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334112,Computer storage device manufacturing
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334118,Computer terminals and other computer peripheral equipment manufacturing
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334210,Telephone apparatus manufacturing
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334220,Broadcast and wireless communications equipment
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334290,Other communications equipment manufacturing
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,334413,Semiconductor and related device manufacturing
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,334418,Printed circuit assembly (electronic assembly) manufacturing
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,33441A,Other electronic component manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334510,Electromedical and electrotherapeutic apparatus manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334511,"Search, detection, and navigation instruments manufacturing"
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334512,Automatic environmental control manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334513,Industrial process variable instruments manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334514,Totalizing fluid meter and counting device manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334515,Electricity and signal testing instruments manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334516,Analytical laboratory instrument manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",334517,Irradiation apparatus manufacturing
33DG,Durable goods,334,Computer and electronic products,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",33451A,"Watch, clock, and other measuring and controlling device manufacturing"
33DG,Durable goods,334,Computer and electronic products,334X,Other computer and electronic product manufacturing,334300,Audio and video equipment manufacturing
33DG,Durable goods,334,Computer and electronic products,334X,Other computer and electronic product manufacturing,334610,Manufacturing and reproducing magnetic and optical media
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335110,Electric lamp bulb and part manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335120,Lighting fixture manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335210,Small electrical appliance manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335220,Major household appliance manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335311,"Power, distribution, and specialty transformer manufacturing"
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335312,Motor and generator manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335313,Switchgear and switchboard apparatus manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335314,Relay and industrial control manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335911,Storage battery manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335912,Primary battery manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335920,Communication and energy wire and cable manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335930,Wiring device manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335991,Carbon and graphite product manufacturing
33DG,Durable goods,335,"Electrical equipment, appliances, and components",335,"Electrical equipment, appliances, and components",335999,All other miscellaneous electrical equipment and component manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",336111,Automobile manufacturing,336111,Automobile manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",336112,Light truck and utility vehicle manufacturing,336112,Light truck and utility vehicle manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",33612,Heavy duty truck manufacturing,336120,Heavy duty truck manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336211,Motor vehicle body manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336212,Truck trailer manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336213,Motor home manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336214,Travel trailer and camper manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336310,Motor vehicle gasoline engine and engine parts manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336320,Motor vehicle electrical and electronic equipment manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing"
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336350,Motor vehicle transmission and power train parts manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336360,Motor vehicle seating and interior trim manufacturing
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336370,Motor vehicle metal stamping
33DG,Durable goods,3361MV,"Motor vehicles, bodies and trailers, and parts",3362BP,"Motor vehicle body, trailer, and parts manufacturing",336390,Other motor vehicle parts manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3364,Aerospace product and parts manufacturing,336411,Aircraft manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3364,Aerospace product and parts manufacturing,336412,Aircraft engine and engine parts manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3364,Aerospace product and parts manufacturing,336413,Other aircraft parts and auxiliary equipment manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3364,Aerospace product and parts manufacturing,336414,Guided missile and space vehicle manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3364,Aerospace product and parts manufacturing,33641A,Propulsion units and parts for space vehicles and guided missiles
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336500,Railroad rolling stock manufacturing
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336611,Ship building and repairing
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336612,Boat building
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336991,"Motorcycle, bicycle, and parts manufacturing"
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336992,"Military armored vehicle, tank, and tank component manufacturing"
33DG,Durable goods,3364OT,Other transportation equipment,3365AO,All other transportation equipment manufacturing,336999,All other transportation equipment manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337110,Wood kitchen cabinet and countertop manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337121,Upholstered household furniture manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337122,Nonupholstered wood household furniture manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,33712N,Other household nonupholstered furniture
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337127,Institutional furniture manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,33721A,Office furniture and custom architectural woodwork and millwork manufacturing
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337215,"Showcase, partition, shelving, and locker manufacturing"
33DG,Durable goods,337,Furniture and related products,337,Furniture and related products,337900,Other furniture related product manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3391,Medical equipment and supplies manufacturing,339112,Surgical and medical instrument manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3391,Medical equipment and supplies manufacturing,339113,Surgical appliance and supplies manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3391,Medical equipment and supplies manufacturing,339114,Dental equipment and supplies manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3391,Medical equipment and supplies manufacturing,339115,Ophthalmic goods manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3391,Medical equipment and supplies manufacturing,339116,Dental laboratories
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339910,Jewelry and silverware manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339920,Sporting and athletic goods manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339930,"Doll, toy, and game manufacturing"
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339940,Office supplies (except paper) manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339950,Sign manufacturing
33DG,Durable goods,339,Miscellaneous manufacturing,3399,Other miscellaneous manufacturing,339990,All other miscellaneous manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311111,Dog and cat food manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311119,Other animal food manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311210,Flour milling and malt manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311221,Wet corn milling
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311224,Soybean and other oilseed processing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311225,Fats and oils refining and blending
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311230,Breakfast cereal manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311300,Sugar and confectionery product manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311410,Frozen food manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311420,"Fruit and vegetable canning, pickling, and drying"
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,31151A,Fluid milk and butter manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311513,Cheese manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311514,"Dry, condensed, and evaporated dairy product manufacturing"
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311520,Ice cream and frozen dessert manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,31161A,"Animal (except poultry) slaughtering, rendering, and processing"
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311615,Poultry processing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311700,Seafood product preparation and packaging
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311810,Bread and bakery product manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,3118A0,"Cookie, cracker, pasta, and tortilla manufacturing"
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311910,Snack food manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311920,Coffee and tea manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311930,Flavoring syrup and concentrate manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311940,Seasoning and dressing manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,311,Food manufacturing,311990,All other food manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,3121,Beverage manufacturing,312110,Soft drink and ice manufacturing
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,3121,Beverage manufacturing,312120,Breweries
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,3121,Beverage manufacturing,312130,Wineries
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,3121,Beverage manufacturing,312140,Distilleries
31ND,Nondurable goods,311FT,Food and beverage and tobacco products,3122,Tobacco manufacturing,312200,Tobacco manufacturing
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,313100,"Fiber, yarn, and thread mills"
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,313200,Fabric mills
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,313300,Textile and fabric finishing and fabric coating mills
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,314110,Carpet and rug mills
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,314120,Curtain and linen mills
31ND,Nondurable goods,313TT,Textile mills and textile product mills,313TT,Textile mills and textile product mills,314900,Other textile product mills
31ND,Nondurable goods,315AL,Apparel and leather and allied products,315AL,Apparel and leather and allied products,315000,Apparel manufacturing
31ND,Nondurable goods,315AL,Apparel and leather and allied products,315AL,Apparel and leather and allied products,316000,Leather and allied product manufacturing
31ND,Nondurable goods,322,Paper products,322,Paper products,322110,Pulp mills
31ND,Nondurable goods,322,Paper products,322,Paper products,322120,Paper mills
31ND,Nondurable goods,322,Paper products,322,Paper products,322130,Paperboard mills
31ND,Nondurable goods,322,Paper products,322,Paper products,322210,Paperboard container manufacturing
31ND,Nondurable goods,322,Paper products,322,Paper products,322220,Paper bag and coated and treated paper manufacturing
31ND,Nondurable goods,322,Paper products,322,Paper products,322230,Stationery product manufacturing
31ND,Nondurable goods,322,Paper products,322,Paper products,322291,Sanitary paper product manufacturing
31ND,Nondurable goods,322,Paper products,322,Paper products,322299,All other converted paper product manufacturing
31ND,Nondurable goods,323,Printing and related support activities,323,Printing and related support activities,323110,Printing
31ND,Nondurable goods,323,Printing and related support activities,323,Printing and related support activities,323120,Support activities for printing
31ND,Nondurable goods,324,Petroleum and coal products,324,Petroleum and coal products,324110,Petroleum refineries
31ND,Nondurable goods,324,Petroleum and coal products,324,Petroleum and coal products,324121,Asphalt paving mixture and block manufacturing
31ND,Nondurable goods,324,Petroleum and coal products,324,Petroleum and coal products,324122,Asphalt shingle and coating materials manufacturing
31ND,Nondurable goods,324,Petroleum and coal products,324,Petroleum and coal products,324190,Other petroleum and coal products manufacturing
31ND,Nondurable goods,325,Chemical products,3251,Basic chemical manufacturing,325110,Petrochemical manufacturing
31ND,Nondurable goods,325,Chemical products,3251,Basic chemical manufacturing,325120,Industrial gas manufacturing
31ND,Nondurable goods,325,Chemical products,3251,Basic chemical manufacturing,325130,Synthetic dye and pigment manufacturing
31ND,Nondurable goods,325,Chemical products,3251,Basic chemical manufacturing,325180,Other basic inorganic chemical manufacturing
31ND,Nondurable goods,325,Chemical products,3251,Basic chemical manufacturing,325190,Other basic organic chemical manufacturing
31ND,Nondurable goods,325,Chemical products,3252,"Resin, rubber, and artificial fibers manufacturing",325211,Plastics material and resin manufacturing
