Code,Commodity Description,naics
33291A,Valve and fittings other than plumbing,332911
33291A,Valve and fittings other than plumbing,332912
33291A,Valve and fittings other than plumbing,332919
332913,Plumbing fixture fitting and trim manufacturing,332913
332991,Ball and roller bearing manufacturing,332991
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332992
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332993
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",332994
332996,Fabricated pipe and pipe fitting manufacturing,332996
332999,Other fabricated metal manufacturing,332999
333111,Farm machinery and equipment manufacturing,333111
333112,Lawn and garden equipment manufacturing,333112
333120,Construction machinery manufacturing,33312
333130,Mining and oil and gas field machinery manufacturing,33313
333242,Semiconductor machinery manufacturing,333242
33329A,Other industrial machinery manufacturing,333241
33329A,Other industrial machinery manufacturing,333243
33329A,Other industrial machinery manufacturing,333244
33329A,Other industrial machinery manufacturing,333249
333314,Optical instrument and lens manufacturing,333314
333316,Photographic and photocopying equipment manufacturing,333316
333318,Other commercial and service industry machinery manufacturing,333318
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,333413
333414,Heating equipment (except warm air furnaces) manufacturing,333414
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415
333511,Industrial mold manufacturing,333511
333517,Machine tool manufacturing,333517
333514,"Special tool, die, jig, and fixture manufacturing",333514
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333515
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",333519
333611,Turbine and turbine generator set units manufacturing,333611
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333612
333613,Mechanical power transmission equipment manufacturing,333613
333618,Other engine equipment manufacturing,333618
333914,"Measuring, dispensing, and other pumping equipment manufacturing",333914
333912,Air and gas compressor manufacturing,333912
333920,Material handling equipment manufacturing,33392
333991,Power-driven handtool manufacturing,333991
33399A,Other general purpose machinery manufacturing,333992
33399A,Other general purpose machinery manufacturing,333997
33399A,Other general purpose machinery manufacturing,333999
333993,Packaging machinery manufacturing,333993
333994,Industrial process furnace and oven manufacturing,333994
33399B,Fluid power process machinery,333995
33399B,Fluid power process machinery,333996
334111,Electronic computer manufacturing,334111
334112,Computer storage device manufacturing,334112
334118,Computer terminals and other computer peripheral equipment manufacturing,334118
334210,Telephone apparatus manufacturing,33421
334220,Broadcast and wireless communications equipment,33422
334290,Other communications equipment manufacturing,33429
334413,Semiconductor and related device manufacturing,334413
334418,Printed circuit assembly (electronic assembly) manufacturing,334418
33441A,Other electronic component manufacturing,334412
33441A,Other electronic component manufacturing,334416
33441A,Other electronic component manufacturing,334417
33441A,Other electronic component manufacturing,334419
334510,Electromedical and electrotherapeutic apparatus manufacturing,334510
334511,"Search, detection, and navigation instruments manufacturing",334511
334512,Automatic environmental control manufacturing,334512
334513,Industrial process variable instruments manufacturing,334513
334514,Totalizing fluid meter and counting device manufacturing,334514
334515,Electricity and signal testing instruments manufacturing,334515
334516,Analytical laboratory instrument manufacturing,334516
334517,Irradiation apparatus manufacturing,334517
33451A,"Watch, clock, and other measuring and controlling device manufacturing",334519
334300,Audio and video equipment manufacturing,3343
334610,Manufacturing and reproducing magnetic and optical media,33461
335110,Electric lamp bulb and part manufacturing,33511
335120,Lighting fixture manufacturing,33512
335210,Small electrical appliance manufacturing,33521
335220,Major household appliance manufacturing,335220
335311,"Power, distribution, and specialty transformer manufacturing",335311
335312,Motor and generator manufacturing,335312
335313,Switchgear and switchboard apparatus manufacturing,335313
335314,Relay and industrial control manufacturing,335314
335911,Storage battery manufacturing,335911
335912,Primary battery manufacturing,335912
335920,Communication and energy wire and cable manufacturing,33592
335930,Wiring device manufacturing,33593
335991,Carbon and graphite product manufacturing,335991
335999,All other miscellaneous electrical equipment and component manufacturing,335999
336111,Automobile manufacturing,336111
336112,Light truck and utility vehicle manufacturing,336112
336120,Heavy duty truck manufacturing,33612
336211,Motor vehicle body manufacturing,336211
336212,Truck trailer manufacturing,336212
336213,Motor home manufacturing,336213
336214,Travel trailer and camper manufacturing,336214
336310,Motor vehicle gasoline engine and engine parts manufacturing,33631
336320,Motor vehicle electrical and electronic equipment manufacturing,33632
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",33633
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",33634
336350,Motor vehicle transmission and power train parts manufacturing,33635
336360,Motor vehicle seating and interior trim manufacturing,33636
336370,Motor vehicle metal stamping,33637
336390,Other motor vehicle parts manufacturing,33639
336411,Aircraft manufacturing,336411
336412,Aircraft engine and engine parts manufacturing,336412
336413,Other aircraft parts and auxiliary equipment manufacturing,336413
336414,Guided missile and space vehicle manufacturing,336414
33641A,Propulsion units and parts for space vehicles and guided missiles,336415
33641A,Propulsion units and parts for space vehicles and guided missiles,336419
336500,Railroad rolling stock manufacturing,3365
336611,Ship building and repairing,336611
336612,Boat building,336612
336991,"Motorcycle, bicycle, and parts manufacturing",336991
336992,"Military armored vehicle, tank, and tank component manufacturing",336992
336999,All other transportation equipment manufacturing,336999
337110,Wood kitchen cabinet and countertop manufacturing,33711
337121,Upholstered household furniture manufacturing,337121
337122,Nonupholstered wood household furniture manufacturing,337122
33712N,Other household nonupholstered furniture,337124
33712N,Other household nonupholstered furniture,337125
337127,Institutional furniture manufacturing,337127
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337211
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337212
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,337214
337215,"Showcase, partition, shelving, and locker manufacturing",337215
337900,Other furniture related product manufacturing,3379
339112,Surgical and medical instrument manufacturing,339112
339113,Surgical appliance and supplies manufacturing,339113
339114,Dental equipment and supplies manufacturing,339114
339115,Ophthalmic goods manufacturing,339115
339116,Dental laboratories,339116
339910,Jewelry and silverware manufacturing,33991
339920,Sporting and athletic goods manufacturing,33992
339930,"Doll, toy, and game manufacturing",33993
339940,Office supplies (except paper) manufacturing,33994
339950,Sign manufacturing,33995
339990,All other miscellaneous manufacturing,33999
311111,Dog and cat food manufacturing,311111
311119,Other animal food manufacturing,311119
311210,Flour milling and malt manufacturing,31121
311221,Wet corn milling,311221
311224,Soybean and other oilseed processing,311224
311225,Fats and oils refining and blending,311225
311230,Breakfast cereal manufacturing,31123
311300,Sugar and confectionery product manufacturing,3113
311410,Frozen food manufacturing,31141
311420,"Fruit and vegetable canning, pickling, and drying",31142
31151A,Fluid milk and butter manufacturing,311511
31151A,Fluid milk and butter manufacturing,311512
311513,Cheese manufacturing,311513
311514,"Dry, condensed, and evaporated dairy product manufacturing",311514
311520,Ice cream and frozen dessert manufacturing,31152
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311611
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311612
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311613
311615,Poultry processing,311615
311700,Seafood product preparation and packaging,3117
311810,Bread and bakery product manufacturing,31181
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",31182
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",31183
311910,Snack food manufacturing,31191
311920,Coffee and tea manufacturing,31192
311930,Flavoring syrup and concentrate manufacturing,31193
311940,Seasoning and dressing manufacturing,31194
311990,All other food manufacturing,31199
312110,Soft drink and ice manufacturing,31211
312120,Breweries,31212
312130,Wineries,31213
312140,Distilleries,31214
312200,Tobacco manufacturing,3122
313100,"Fiber, yarn, and thread mills",3131
313200,Fabric mills,3132
313300,Textile and fabric finishing and fabric coating mills,3133
314110,Carpet and rug mills,31411
314120,Curtain and linen mills,31412
314900,Other textile product mills,3149
315000,Apparel manufacturing,315
316000,Leather and allied product manufacturing,316
322110,Pulp mills,32211
322120,Paper mills,32212
322130,Paperboard mills,32213
322210,Paperboard container manufacturing,32221
322220,Paper bag and coated and treated paper manufacturing,32222
322230,Stationery product manufacturing,32223
322291,Sanitary paper product manufacturing,322291
322299,All other converted paper product manufacturing,322299
323110,Printing,32311
323120,Support activities for printing,32312
324110,Petroleum refineries,32411
324121,Asphalt paving mixture and block manufacturing,324121
324122,Asphalt shingle and coating materials manufacturing,324122
324190,Other petroleum and coal products manufacturing,32419
325110,Petrochemical manufacturing,32511
325120,Industrial gas manufacturing,32512
325130,Synthetic dye and pigment manufacturing,32513
325180,Other basic inorganic chemical manufacturing,32518
325190,Other basic organic chemical manufacturing,32519
325211,Plastics material and resin manufacturing,325211
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,325212
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,32522
325411,Medicinal and botanical manufacturing,325411
325412,Pharmaceutical preparation manufacturing,325412
325413,In-vitro diagnostic substance manufacturing,325413
325414,Biological product (except diagnostic) manufacturing,325414
325310,Fertilizer manufacturing,32531
325320,Pesticide and other agricultural chemical manufacturing,32532
325510,Paint and coating manufacturing,32551
325520,Adhesive manufacturing,32552
325610,Soap and cleaning compound manufacturing,32561
325620,Toilet preparation manufacturing,32562
325910,Printing ink manufacturing,32591
3259A0,All other chemical product and preparation manufacturing,32592
3259A0,All other chemical product and preparation manufacturing,32599
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,32611
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",32612
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",32613
326140,Polystyrene foam product manufacturing,32614
326150,Urethane and other foam product (except polystyrene) manufacturing,32615
326160,Plastics bottle manufacturing,32616
326190,Other plastics product manufacturing,32619
326210,Tire manufacturing,32621
326220,Rubber and plastics hoses and belting manufacturing,32622
326290,Other rubber product manufacturing,32629
423100,Motor vehicle and motor vehicle parts and supplies,4231
423400,Professional and commercial equipment and supplies,4234
423600,Household appliances and electrical and electronic goods,4236
423800,"Machinery, equipment, and supplies",4238
423A00,Other durable goods merchant wholesalers,4232
423A00,Other durable goods merchant wholesalers,4233
423A00,Other durable goods merchant wholesalers,4235
423A00,Other durable goods merchant wholesalers,4237
423A00,Other durable goods merchant wholesalers,4239
424200,Drugs and druggists' sundries,4242
424400,Grocery and related product wholesalers,4244
424700,Petroleum and petroleum products,4247
424A00,Other nondurable goods merchant wholesalers,4241
424A00,Other nondurable goods merchant wholesalers,4243
424A00,Other nondurable goods merchant wholesalers,4245
424A00,Other nondurable goods merchant wholesalers,4246
424A00,Other nondurable goods merchant wholesalers,4248
424A00,Other nondurable goods merchant wholesalers,4249
425000,Wholesale electronic markets and agents and brokers,425
4200ID,Customs duties,n.a.
441000,Motor vehicle and parts dealers,441
445000,Food and beverage stores,445
452000,General merchandise stores,452
444000,Building material and garden equipment and supplies dealers,444
446000,Health and personal care stores,446
447000,Gasoline stations,447
448000,Clothing and clothing accessories stores,448
454000,Nonstore retailers,454
4B0000,All other retail,442
4B0000,All other retail,443
4B0000,All other retail,451
4B0000,All other retail,453
481000,Air transportation,481
482000,Rail transportation,482
483000,Water transportation,483
484000,Truck transportation,484
485000,Transit and ground passenger transportation,485
486000,Pipeline transportation,486
48A000,Scenic and sightseeing transportation and support activities,487
48A000,Scenic and sightseeing transportation and support activities,488
492000,Couriers and messengers,492
493000,Warehousing and storage,493
511110,Newspaper publishers,51111
511120,Periodical publishers,51112
511130,Book publishers,51113
5111A0,"Directory, mailing list, and other publishers",51114
5111A0,"Directory, mailing list, and other publishers",51119
511200,Software publishers,51121
512100,Motion picture and video industries,5121
512200,Sound recording industries,5122
515100,Radio and television broadcasting,5151
515200,Cable and other subscription programming,5152
517110,Wired telecommunications carriers,517311
517210,Wireless telecommunications carriers (except satellite),517312
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5174
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5175
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5176
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5177
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5178
517A00,"Satellite, telecommunications resellers, and all other telecommunications",5179
518200,"Data processing, hosting, and related services",5182
519130,Internet publishing and broadcasting and Web search portals,51913
5191A0,"News syndicates, libraries, archives and all other information services",51911
5191A0,"News syndicates, libraries, archives and all other information services",51912
5191A0,"News syndicates, libraries, archives and all other information services",51919
52A000,Monetary authorities and depository credit intermediation,521
52A000,Monetary authorities and depository credit intermediation,5221
522A00,Nondepository credit intermediation and related activities,5222
522A00,Nondepository credit intermediation and related activities,5223
523A00,Securities and commodity contracts intermediation and brokerage,5231
523A00,Securities and commodity contracts intermediation and brokerage,5232
523900,Other financial investment activities,5239
524113,Direct life insurance carriers,524113
5241XX,"Insurance carriers, except direct life",524114
5241XX,"Insurance carriers, except direct life",52412
5241XX,"Insurance carriers, except direct life",52413
524200,"Insurance agencies, brokerages, and related activities",5242
525000,"Funds, trusts, and other financial vehicles",525
531HSO,Owner-occupied housing,n.a.
531HST,Tenant-occupied housing,531
531ORE,Other real estate,531
532100,Automotive equipment rental and leasing,5321
532A00,General and consumer goods rental,5322
532A00,General and consumer goods rental,5323
532400,Commercial and industrial machinery and equipment rental and leasing,5324
533000,Lessors of nonfinancial intangible assets,533
541100,Legal services,5411
541200,"Accounting, tax preparation, bookkeeping, and payroll services",5412
541300,"Architectural, engineering, and related services",5413
541610,Management consulting services,54161
5416A0,Environmental and other technical consulting services,54162
5416A0,Environmental and other technical consulting services,54169
541700,Scientific research and development services,5417
541800,"Advertising, public relations, and related services",5418
541400,Specialized design services,5414
5419A0,"All other miscellaneous professional, scientific, and technical services",54191
5419A0,"All other miscellaneous professional, scientific, and technical services",54193
5419A0,"All other miscellaneous professional, scientific, and technical services",54199
541920,Photographic services,54192
541940,Veterinary services,54194
541511,Custom computer programming services,541511
541512,Computer systems design services,541512
54151A,"Other computer related services, including facilities management",541513
54151A,"Other computer related services, including facilities management",541519
550000,Management of companies and enterprises,55
561300,Employment services,5613
561700,Services to buildings and dwellings,5617
561100,Office administrative services,5611
561200,Facilities support services,5612
561400,Business support services,5614
561500,Travel arrangement and reservation services,5615
561600,Investigation and security services,5616
561900,Other support services,5619
562000,Waste management and remediation services,562
611100,Elementary and secondary schools,6111
611A00,"Junior colleges, colleges, universities, and professional schools",6112
611A00,"Junior colleges, colleges, universities, and professional schools",6113
611B00,Other educational services,6114
611B00,Other educational services,6115
611B00,Other educational services,6116
611B00,Other educational services,6117
621100,Offices of physicians,6211
621200,Offices of dentists,6212
621300,Offices of other health practitioners,6213
621400,Outpatient care centers,6214
621500,Medical and diagnostic laboratories,6215
621600,Home health care services,6216
621900,Other ambulatory health care services,6219
622000,Hospitals,622
623A00,Nursing and community care facilities,6231
623A00,Nursing and community care facilities,6233
623B00,"Residential mental health, substance abuse, and other residential care facilities",6232
623B00,"Residential mental health, substance abuse, and other residential care facilities",6239
624100,Individual and family services,6241
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",6242
624A00,"Community food, housing, and other relief services, including vocational rehabilitation services",6243
624400,Child day care services,6244
711100,Performing arts companies,7111
711200,Spectator sports,7112
711A00,Promoters of performing arts and sports and agents for public figures,7113
711A00,Promoters of performing arts and sports and agents for public figures,7114
711500,"Independent artists, writers, and performers",7115
712000,"Museums, historical sites, zoos, and parks",712
713100,Amusement parks and arcades,7131
713200,Gambling industries (except casino hotels),7132
713900,Other amusement and recreation industries,7139
721000,Accommodation,721
722110,Full-service restaurants,722511
722211,Limited-service restaurants,722513
722A00,All other food and drinking places,7223
722A00,All other food and drinking places,7224
722A00,All other food and drinking places,722514
722A00,All other food and drinking places,722515
811100,Automotive repair and maintenance (including car washes),8111
811200,Electronic and precision equipment repair and maintenance,8112
811300,Commercial and industrial machinery and equipment repair and maintenance,8113
811400,Personal and household goods repair and maintenance,8114
812100,Personal care services,8121
812200,Death care services,8122
812300,Dry-cleaning and laundry services,8123
812900,Other personal services,8129
813100,Religious organizations,8131
813A00,"Grantmaking, giving, and social advocacy organizations",8132
813A00,"Grantmaking, giving, and social advocacy organizations",8133
813B00,"Civic, social, professional, and similar organizations",8134
813B00,"Civic, social, professional, and similar organizations",8139
814000,Private households,814
S00500,Federal general government (defense),n.a.
S00600,Federal general government (nondefense),n.a.
491000,Postal service,491
S00101,Federal electric utilities,n.a.
S00102,Other federal government enterprises,n.a.
GSLGE,State and local government (educational services),n.a.
GSLGH,State and local government (hospitals and health services),n.a.
GSLGO,State and local government (other services),n.a.
S00201,State and local government passenger transit,n.a.
S00202,State and local government electric utilities,n.a.
S00203,Other state and local government enterprises,n.a.
S00401,Scrap,n.a.
S00402,Used and secondhand goods,n.a.
S00300,Noncomparable imports,n.a.
S00900,Rest of the world adjustment,n.a.
