HS_Section,HS_Section_Title,HS_Chapter,HS_Chapter_Title
12,"Footwear, Headgear, Umbrellas, Walking-Sticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",66,"Umbrellas, Sun Umbrellas, Walking-Sticks, Seat-Sticks, Whips, Riding-Crops and Parts Thereof"
12,"Footwear, Headgear, Umbrellas, Walking-Sticks, Whips, Riding-Crops and Parts Thereof; Prepared Feathers and Articles Made Therewith; Artificial Flowers; Articles of Human Hair",67,Prepared Feathers and Down and Articles Made of Feathers or of Down; Artificial Flowers; Articles of Human Hair
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",68,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials"
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",69,Ceramic Products
13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials; Ceramic Products; Glass and Glassware",70,Glass and Glassware
14,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal and Articles Thereof; Imitation Jewelry; Coin",71,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal and Articles Thereof; Imitation Jewelry; Coin"
15,Base Metals and Articles of Base Metal,72,Iron and Steel
15,Base Metals and Articles of Base Metal,73,Articles of Iron or Steel
15,Base Metals and Articles of Base Metal,74,Copper and Articles Thereof
15,Base Metals and Articles of Base Metal,75,Nickel and Articles Thereof
15,Base Metals and Articles of Base Metal,76,Aluminum and Articles Thereof
15,Base Metals and Articles of Base Metal,78,Lead and Articles Thereof
15,Base Metals and Articles of Base Metal,79,Zinc and Articles Thereof
15,Base Metals and Articles of Base Metal,80,Tin and Articles Thereof
15,Base Metals and Articles of Base Metal,81,Other Base Metals; Cermets; Articles Thereof
15,Base Metals and Articles of Base Metal,82,"Tools, Implements, Cutlery, Spoons and Forks, of Base Metal; Parts Thereof of Base Metal"
15,Base Metals and Articles of Base Metal,83,Miscellaneous Articles of Base Metal
16,Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof,84,"Nuclear Reactors, Boilers, Machinery and Mechanical Appliances; Parts Thereof"
16,Machinery and Mechanical Appliances; Electrical Equipment; Parts Thereof,85,"Electrical Machinery and Equipment and Parts Thereof; Sound Recorders and Reproducers, Television Image and Sound Recorders and Reproducers, and Parts"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",86,"Railway or Tramway Locomotives, Rolling Stock and Parts Thereof; Railway or Tramway Track Fixtures and Fittings and Parts Thereof; Mechanical (Including Electromagnetic) Traffic Signaling Equipment of All Kinds"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",87,"Vehicles Other Than Railway or Tramway Rolling Stock, and Parts and Accessories Thereof"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",88,"Aircraft, Spacecraft, and Parts Thereof"
17,"Vehicles, Aircraft, Vessels and Associated Transport Equipment",89,"Ships, Boats and Floating Structures"
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",90,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Parts and Accessories Thereof"
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",91,Clocks and Watches and Parts Thereof
18,"Optical, Photographic, Cinematographic, Measuring, Checking, Precision, Medical or Surgical Instruments and Apparatus; Clocks and Watches; Musical Instruments; Parts and Accessories Thereof",92,Musical Instruments; Parts and Accessories of Such Articles
19,Arms and Ammunition; Parts and Accessories Thereof,93,Arms and Ammunition; Parts and Accessories Thereof
20,Miscellaneous Manufactured Articles,94,"Furniture; Bedding, Mattresses, Mattress Supports, Cushions and Similar Stuffed Furnishings; Lamps and Lighting Fittings, Not Elsewhere Specified or Included; Illuminated Signs, Illuminated Nameplates and the Like; Prefabricated Buildings"
20,Miscellaneous Manufactured Articles,95,"Toys, Games and Sports Requisites; Parts and Accessories Thereof"
20,Miscellaneous Manufactured Articles,96,Miscellaneous Manufactured Articles
21,"Works of Art, Collectors' Pieces and Antiques",97,"Works of Art, Collectors' Pieces and Antiques"
21,"Works of Art, Collectors' Pieces and Antiques",98,Special Classification Provisions
21,"Works of Art, Collectors' Pieces and Antiques",99,"Temporary legisaltion, and modifications proclaimed pursuant to trade aggrements legislation"
