NIPA Line,Description
238,                Meals at schools
239,                    Elementary and secondary school lunches
240,                    Higher education school lunches
241,                Other purchased meals
242,                    Meals at limited service eating places
243,                    Meals at other eating places
244,                    Meals at drinking places
245,              Alcohol in purchased meals
246,            Food furnished to employees (including military)
247,              Food supplied to civilians
248,              Food supplied to military
249,        Accommodations
250,            Hotels and motels
251,            Housing at schools
252,      Financial services and insurance
253,        Financial services
254,            Financial services furnished without payment
255,              Commercial banks
256,              Other depository institutions and regulated investment companies
257,              Pension funds
258,"            Financial service charges, fees, and commissions"
259,              Financial service charges and fees
260,              Securities commissions
261,                Direct commissions
262,                    Exchange-listed equities
263,                    Other direct commissions
264,                Indirect commissions
265,                    Over-the-counter equity securities
266,                    Other imputed commissions
267,                Mutual fund sales charges
268,              Portfolio management and investment advice services
269,"              Trust, fiduciary, and custody activities"
270,        Insurance
271,            Life insurance
272,            Net household insurance
273,              Household insurance premiums and premium supplements
274,              Less: Household insurance normal losses
275,            Net health insurance
276,              Medical care and hospitalization
277,              Income loss
278,              Workers' compensation
279,            Net motor vehicle and other transportation insurance
280,      Other services
281,        Communication
282,            Telecommunication services
283,"              Land-line telephone services, local charges"
284,"              Land-line telephone services, long-distance charges"
285,              Cellular telephone services
286,            Postal and delivery services
287,              First-class postal service (by U.S. Postal Service)
288,              Other delivery services (by non-U.S. postal facilities)
289,            Internet access
290,        Education services
291,            Higher education
292,              Proprietary and public higher education
293,              Nonprofit private higher education services to households
294,"            Nursery, elementary, and secondary schools"
295,              Elementary and secondary schools
296,              Day care and nursery schools
297,            Commercial and vocational schools
298,        Professional and other services
299,            Legal services
300,            Accounting and other business services
301,              Tax preparation and other related services
302,              Employment agency services
303,              Other personal business services
304,            Labor organization dues
305,            Professional association dues
306,            Funeral and burial services
307,        Personal care and clothing services
308,            Personal care services
309,              Hairdressing salons and personal grooming establishments
310,              Miscellaneous personal care services
311,            Clothing and footwear services
312,              Laundry and drycleaning services
313,"              Clothing repair, rental, and alterations"
314,              Repair and hire of footwear
315,        Social services and religious activities
316,            Child care
317,            Social assistance
318,              Homes for the elderly
319,              Residential mental health and substance abuse
320,              Individual and family services
321,              Vocational rehabilitation services
322,              Community food and housing / emergency / other relief services
323,"              Other social assistance, not elsewere classified"
324,            Social advocacy and civic and social organizations
325,            Religious organizations' services to households
326,            Foundations and grantmaking and giving services to households
327,        Household maintenance
328,            Domestic services
329,"            Moving, storage, and freight services"
330,"            Repair of furniture, furnishings, and floor coverings"
331,            Repair of household appliances
332,            Other household services
333,        Net foreign travel
334,            Foreign travel by U.S. residents
335,              Passenger fares for foreign travel
336,              U.S. travel outside the United States
337,              U.S. student expenditures
338,            Less: Expenditures in the United States by nonresidents
339,              Foreign travel in the United States
340,              Medical expenditures of foreigners
341,              Expenditures of foreign students in the United States
342,    Final consumption expenditures of nonprofit institutions serving households (NPISHs)
343,      Gross output of nonprofit institutions
344,"        Health, gross output"
345,"            Outpatient services, gross output"
346,"            Nonprofit hospitals, gross output"
347,"            Nonprofit nursing homes, gross output"
348,"        Recreation services, gross output"
349,"        Education services, gross output"
350,"        Social services, gross output"
351,"        Religious organizations, gross output"
352,"        Foundations and grantmaking and giving establishments, gross output"
353,"        Social advocacy establishments, gross output"
354,"        Civic and social organizations, gross output"
355,"        Professional advocacy, gross output"
356,      Less: Receipts from sales of goods and services by nonprofit institutions
357,        Health services to households
358,            Outpatient services to households
359,            Nonprofit hospitals services to households
360,            Nonprofit nursing homes services to households
361,        Recreation services to households
362,        Education services to households
363,        Social services to households
364,        Religious organizations' services to households
365,        Foundations and grantmaking and giving services to households
366,        Services of social advocacy establishments to households
367,        Civic and social organizations' services to households
368,        Professional advocacy services to households
