hs_code,hs10_description,matched_bea_detail,match_level,mapping_strength,modal_count,total_matches,impVal,match_type
3926909989,"Articles Of Plastics Etc, Nesoi (no)",326190,hs8,1.0,7,7,3671400136.0,primary
4802571085,Wrtng/cvdr ppr Nov 10% Mech 40-150g/m2 Sheet Nesoi (kg),322120,hs8,1.0,3,3,21558856.0,primary
4802574085,PPr/prbrd Unctd Nov 10% Mch 40-150g/m2 Rl/sh Nesoi (kg),322120,hs8,1.0,3,3,52465709.0,primary
702002002,,111400,hs6,0.5,6,12,27054089.0,primary
702002002,,111200,hs6,0.5,6,12,0.0,alternative
702002004,,111400,hs6,0.5,6,12,6154990.0,primary
702002004,,111200,hs6,0.5,6,12,0.0,alternative
702002006,,111400,hs6,0.5,6,12,25093196.0,primary
702002006,,111200,hs6,0.5,6,12,0.0,alternative
702002008,,111400,hs6,0.5,6,12,36574150.0,primary
702002008,,111200,hs6,0.5,6,12,0.0,alternative
702002043,,111400,hs8,0.5,1,2,20417118.0,primary
702002043,,111200,hs8,0.5,1,2,0.0,alternative
702002044,,111400,hs8,0.5,1,2,6084890.0,primary
702002044,,111200,hs8,0.5,1,2,0.0,alternative
702002048,,111400,hs8,0.5,1,2,1870948.0,primary
702002048,,111200,hs8,0.5,1,2,0.0,alternative
702002050,,111200,hs8,1.0,1,1,4465974.0,primary
702004002,,111400,hs6,0.5,6,12,7795850.0,primary
702004002,,111200,hs6,0.5,6,12,0.0,alternative
702004004,,111400,hs6,0.5,6,12,4116026.0,primary
702004004,,111200,hs6,0.5,6,12,0.0,alternative
702004006,,111400,hs6,0.5,6,12,11426563.0,primary
702004006,,111200,hs6,0.5,6,12,0.0,alternative
702004008,,111400,hs6,0.5,6,12,5730231.0,primary
702004008,,111200,hs6,0.5,6,12,0.0,alternative
702006002,,111400,hs6,0.5,6,12,9610627.0,primary
702006002,,111200,hs6,0.5,6,12,0.0,alternative
702006004,,111400,hs6,0.5,6,12,2003771.0,primary
702006004,,111200,hs6,0.5,6,12,0.0,alternative
702006006,,111400,hs6,0.5,6,12,7097767.0,primary
702006006,,111200,hs6,0.5,6,12,0.0,alternative
702006008,,111400,hs6,0.5,6,12,12071307.0,primary
702006008,,111200,hs6,0.5,6,12,0.0,alternative
702006033,,111200,hs8,0.6666666666666666,2,3,11238338.0,primary
702006033,,111400,hs8,0.6666666666666666,1,3,0.0,alternative
702006034,,111200,hs8,0.6666666666666666,2,3,2390488.0,primary
702006034,,111400,hs8,0.6666666666666666,1,3,0.0,alternative
702006037,,111200,hs8,0.6666666666666666,2,3,495858.0,primary
702006037,,111400,hs8,0.6666666666666666,1,3,0.0,alternative
702006038,,111200,hs8,0.6666666666666666,2,3,965426.0,primary
702006038,,111400,hs8,0.6666666666666666,1,3,0.0,alternative
703104070,,111200,hs6,1.0,4,4,20504432.0,primary
703104075,,111200,hs6,1.0,4,4,148963093.0,primary
704904028,,111200,hs8,1.0,4,4,114424.0,primary
707002037,,111200,hs8,1.0,1,1,7093436.0,primary
707002040,,111200,hs6,1.0,3,3,12142284.0,primary
707002045,,111200,hs6,1.0,3,3,24682245.0,primary
707002050,,111200,hs8,1.0,1,1,40237840.0,primary
707002060,,111200,hs6,1.0,3,3,50679508.0,primary
707002070,,111200,hs6,1.0,3,3,81039733.0,primary
707002080,,111200,hs6,1.0,3,3,19370603.0,primary
707002090,,111200,hs6,1.0,3,3,151508039.0,primary
707004037,,111200,hs8,1.0,1,1,9402242.0,primary
707004040,,111200,hs6,1.0,3,3,10126118.0,primary
707004045,,111200,hs6,1.0,3,3,10258940.0,primary
707004050,,111200,hs8,1.0,1,1,30997172.0,primary
707004060,,111200,hs6,1.0,3,3,35293285.0,primary
707004070,,111200,hs6,1.0,3,3,67263365.0,primary
707004080,,111200,hs6,1.0,3,3,17021210.0,primary
707004090,,111200,hs6,1.0,3,3,114210888.0,primary
707005005,,111400,hs6,0.6666666666666666,4,6,12725856.0,primary
707005005,,111200,hs6,0.6666666666666666,2,6,0.0,alternative
707005022,,111400,hs8,1.0,1,1,18793486.0,primary
707005024,,111400,hs8,1.0,1,1,19187469.0,primary
707005026,,111400,hs8,1.0,1,1,25163146.0,primary
707005085,,111200,hs8,1.0,1,1,158089974.0,primary
707006005,,111400,hs6,0.5714285714285714,4,7,68493.0,primary
707006005,,111200,hs6,0.5714285714285714,3,7,0.0,alternative
707006013,,111400,hs8,1.0,1,1,13114195.0,primary
707006017,,111400,hs8,1.0,1,1,12462775.0,primary
707006021,,111400,hs8,1.0,3,3,9462366.0,primary
707006075,,111200,hs8,1.0,1,1,39087733.0,primary
709209040,,111200,hs6,1.0,2,2,33463859.0,primary
709209070,,111200,hs6,1.0,2,2,609897886.0,primary
7306305026,"Oth Tubes Etc Nes Wld Circ Od No 50.8, Gal W Cplg (kg)",331110,hs8,1.0,11,11,10465475.0,primary
7306305027,"Oth Tubes Etc Nes Wld Circ Od No 114.3, Gal W Cplg (kg)",331110,hs8,1.0,11,11,6728034.0,primary
7306305031,Oth Pipes Etc Wld Cir Glv Od No 50.8 W/o Cplng/lng (kg),331110,hs8,1.0,11,11,28207432.0,primary
7306305033,Oth ppes Etc Wld Cir Glv Od No 114.3 W/o Cplng/lng (kg),331110,hs8,1.0,11,11,27454401.0,primary
7306305041,Oth Tubes Etc Wld Cir Nt Glv Od No 50.8mm W/cpling (kg),331110,hs8,1.0,11,11,26336751.0,primary
7306305043,Oth Tubes Etc Wld Cir Nt Glv Od No 114.3 W/cpling (kg),331110,hs8,1.0,11,11,4555234.0,primary
7306305056,"Oth Tubes Etc Wld Cir Nt Glv, Od Diam Not Ovr 50.8 (kg)",331110,hs8,1.0,11,11,56981936.0,primary
7306305057,"Oth Tubes Etc Wld Cir Nt Glv, Od Diam Nt Ovr 114.3 (kg)",331110,hs8,1.0,11,11,54980319.0,primary
7602000035,Recyclable Beverage Containers (kg),S00300,hs8,1.0,3,3,370248308.0,primary
7602000095,Aluminum Industrial Process Scrap (kg),S00300,hs8,1.0,3,3,372438893.0,primary
7602000097,Other Recyclable Aluminum (kg),S00300,hs8,1.0,3,3,297495590.0,primary
7602000098,"Aluminum Waste And Scrap, Nesoi (kg)",S00300,hs8,1.0,3,3,272144286.0,primary
805100050,,111300,hs6,1.0,2,2,11933741.0,primary
805100060,,111300,hs6,1.0,2,2,245385619.0,primary
807113020,,111200,hs6,1.0,2,2,18334897.0,primary
807113040,,111200,hs6,1.0,2,2,2783821.0,primary
807113060,,111200,hs6,1.0,2,2,6293771.0,primary
807113080,,111200,hs6,1.0,2,2,89860549.0,primary
807114020,,111200,hs6,1.0,2,2,9466184.0,primary
807114040,,111200,hs6,1.0,2,2,4821219.0,primary
807114060,,111200,hs6,1.0,2,2,70790395.0,primary
807114080,,111200,hs6,1.0,2,2,150946801.0,primary
808302035,,111300,hs6,1.0,2,2,4318140.0,primary
808302045,,111300,hs6,1.0,2,2,39480479.0,primary
808304035,,111300,hs6,1.0,2,2,43302151.0,primary
808304045,,111300,hs6,1.0,2,2,26114919.0,primary
810102020,,111300,hs6,1.0,2,2,2012946.0,primary
810102040,,111300,hs6,1.0,2,2,355592.0,primary
810102060,,111300,hs6,1.0,2,2,3451861.0,primary
810102080,,111300,hs6,1.0,2,2,8062795.0,primary
810104020,,111300,hs6,1.0,2,2,15521765.0,primary
810104040,,111300,hs6,1.0,2,2,197108704.0,primary
810104060,,111300,hs6,1.0,2,2,55800332.0,primary
810104080,,111300,hs6,1.0,2,2,886162739.0,primary
810500010,,111300,hs6,1.0,1,1,33256487.0,primary
810500090,,111300,hs6,1.0,1,1,244294077.0,primary
811908090,,311410,hs8,1.0,1,1,10567192.0,primary
811908097,,311410,hs8,1.0,1,1,66865971.0,primary
8309900010,"Stoppers, Caps, Lids, Seals Etc, Parts, Aluminum (kg)",332119,hs8,1.0,1,1,169851804.0,primary
8309900090,"Stoppers, Caps, Lids, Seals Etc Nes, Prts, Bs Metl (kg)",332119,hs8,1.0,1,1,308047722.0,primary
8542310015,Controllers (including Microcontrollers): 8-bit (no),334413,hs8,1.0,1,1,65263523.0,primary
8542310020,Controllers (including Microcontrollers): 16-bit (no),334413,hs8,1.0,1,1,61092735.0,primary
8542310025,Controllers (including Microcontrollers): 32-bit (no),334413,hs8,1.0,1,1,525646982.0,primary
8542310030,Controllers (including Microcontrollers): Other (no),334413,hs8,1.0,1,1,284343722.0,primary
8542310035,Prcssrs (incl Micro): Dgtl Signal Prcssrs (dsps) (no),334413,hs8,1.0,1,1,50418289.0,primary
8542310040,Prcssrs (incl Micro): Grphcs Procssng Units (gpus) (no),334413,hs8,1.0,1,1,584294151.0,primary
8542310045,Prcssrs (incl Micro): Centrl Procssng Units (cpus) (no),334413,hs8,1.0,1,1,4946561041.0,primary
8542310050,Processors (including Microprocessors): Other (no),334413,hs8,1.0,1,1,4360974393.0,primary
8542310055,Prgrmbl Lg Dvcs(plds):cmplx Prgrmbl Lg Dvcs(cplds) (no),334413,hs8,1.0,1,1,74879324.0,primary
8542310060,Prgrmbl Lg Dvcs(plds):fld Prgrmb Gate Arrys(fpgas) (no),334413,hs8,1.0,1,1,735460343.0,primary
8542310065,Programmable Logic Devices (plds): Other (no),334413,hs8,1.0,1,1,7650762.0,primary
8542310070,System On Chips (socs) (no),334413,hs8,1.0,1,1,1929381009.0,primary
8542310075,"Processors & Contollers W/not Combo W Memoris, Etc (no)",334413,hs8,1.0,1,1,2463940164.0,primary
8542390010,"Electronic Integrated Circuits, Rf Transceivers (no)",334413,hs8,1.0,1,1,195695082.0,primary
8542390020,"Electronic Integrated Circuits, Active Filters (no)",334413,hs8,1.0,1,1,12428739.0,primary
8542390030,"Elct Int Cts,data Crtrs:analg To Dgtl Cnvtrs(adcs) (no)",334413,hs8,1.0,1,1,90905255.0,primary
8542390040,"Elct Int Cts,data Crtrs:dgtl To Anlg Cnvrtrs(dacs) (no)",334413,hs8,1.0,1,1,46414523.0,primary
8542390050,"Elctrnic Intgratd Circuits, Data Convrters: Others (no)",334413,hs8,1.0,1,1,67109788.0,primary
8542390060,"Electronic Integrated Circuits, Nesoi (no)",334413,hs8,1.0,1,1,4015292761.0,primary
9401612011,"Hshld Seat,wdn Frms,chairs,teak,plntation,uphlst (no)",337121,hs8,0.5,1,2,6075865.0,primary
9401612011,"Hshld Seat,wdn Frms,chairs,teak,plntation,uphlst (no)",337127,hs8,0.5,1,2,0.0,alternative
9401612015,"Hshld Seat,wdn Frames,chairs,non-pg Teak,uphlstrd (no)",337121,hs8,0.5,1,2,3047167.0,primary
9401612015,"Hshld Seat,wdn Frames,chairs,non-pg Teak,uphlstrd (no)",337127,hs8,0.5,1,2,0.0,alternative
9401612031,"Seats,wdn Frms,non-hh Chairs,plnttion Teak,uphlst (no)",337121,hs8,0.5,1,2,2499783.0,primary
9401612031,"Seats,wdn Frms,non-hh Chairs,plnttion Teak,uphlst (no)",337127,hs8,0.5,1,2,0.0,alternative
9401612035,"Seats,wdn Frmes,non-hh Chairs,non-pg Teak,uphlstr (no)",337121,hs8,0.5,1,2,1945572.0,primary
9401612035,"Seats,wdn Frmes,non-hh Chairs,non-pg Teak,uphlstr (no)",337127,hs8,0.5,1,2,0.0,alternative
9401694011,"Hshld Chair,wdn Frme,plntation Teak,not Uphlst (no)",337122,hs8,0.5,1,2,29420768.0,primary
9401694011,"Hshld Chair,wdn Frme,plntation Teak,not Uphlst (no)",337127,hs8,0.5,1,2,0.0,alternative
9401694015,"Hshld Chair,wdn Frame,non-pg Teak,nt Upholstd (no)",337122,hs8,0.5,1,2,6093392.0,primary
9401694015,"Hshld Chair,wdn Frame,non-pg Teak,nt Upholstd (no)",337127,hs8,0.5,1,2,0.0,alternative
9401694031,"Not-hh Chairs,wdn Frmes,plntation Teak,not Uphlst (no)",337122,hs8,0.5,1,2,7900213.0,primary
9401694031,"Not-hh Chairs,wdn Frmes,plntation Teak,not Uphlst (no)",337127,hs8,0.5,1,2,0.0,alternative
9401694035,"Non-hh Chairs,wdn Frmes,non-pg Teak,not Upholst (no)",337122,hs8,0.5,1,2,3262147.0,primary
9401694035,"Non-hh Chairs,wdn Frmes,non-pg Teak,not Upholst (no)",337127,hs8,0.5,1,2,0.0,alternative
